IATA;Nombre del aeropuerto;Municipio ;Departamento
AXM;Aeropuerto Internacional El Edén  ;Armenia   La Tebaida;Quindío
BAQ;Aeropuerto Internacional Ernesto Cortissoz  ;Barranquilla   Soledad;Atlántico
BOG;Aeropuerto Internacional El Dorado  ;Bogotá;Distrito Capital
BGA;Aeropuerto Internacional Palonegro  ;Bucaramanga   Lebrija;Santander
CLO;Aeropuerto Internacional Alfonso Bonilla Aragón;Cali   Palmira;Valle del Cauca
CUC;Aeropuerto Internacional Camilo Daza  ;Cúcuta;Norte de Santander
CTG;Aeropuerto Internacional Rafael Núñez;Cartagena;Bolívar
LET;Aeropuerto Internacional Alfredo Vásquez Cobo  ;Leticia;Amazonas
MDE;Aeropuerto Internacional José María Córdova;Medellín   Rionegro;Antioquia
PEI;Aeropuerto Internacional Matecaña  ;Pereira;Risaralda
ADZ;Aeropuerto Internacional Gustavo Rojas Pinilla  ;San Andrés;San Andrés y Providencia
SMR;Aeropuerto Internacional Simón Bolívar  ;Santa Marta;Magdalena
MTR;Aeropuerto Internacional Los Garzones  ;Montería;Córdoba
RCH;Aeropuerto Internacional Almirante Padilla  ;Riohacha;La Guajira
APO;Aeropuerto Antonio Roldán Betancourt;Apartadó   Carepa;Antioquia
AUC;Aeropuerto Santiago Pérez Quiroz;Arauca;Arauca
BSC;Aeropuerto José Celestino Mutis;Bahía Solano;Chocó
EJA;Aeropuerto Yariguíes;Barrancabermeja;Santander
GYM;Aeropuerto Guaymaral;Bogotá;Distrito Capital
CAQ;Aeropuerto Juan H. White;Caucasia;Antioquia
FLA;Aeropuerto Gustavo Artunduaga;Florencia;Caquetá
GPI;Aeropuerto Juan Casiano;Guapi;Cauca
IBE;Aeropuerto Perales;Ibagué;Tolima
IPI;Aeropuerto San Luis;Ipiales   Aldana;Nariño
LMC;Aeropuerto Javier Noreña Valencia;La Macarena;Meta
MZL;Aeropuerto La Nubia;Manizales;Caldas
EOH;Aeropuerto Enrique Olaya Herrera;Medellín;Antioquia
VGZ;Aeropuerto de Villagarzón;Mocoa   Villagarzón;Putumayo
LMN;Aeropuerto Jorge Isaacs;Maicao;La Guajira
MVP;Aeropuerto Fabio Alberto León Bentley;Mitú;Vaupés
NVA;Aeropuerto Benito Salas;Neiva;Huila
NQU;Aeropuerto Reyes Murillo;Nuquí;Chocó
PSO;Aeropuerto Antonio Nariño;Pasto   Chachagüí;Nariño
PTX;Aeropuerto Contador;Pitalito;Huila
PPN;Aeropuerto Guillermo León Valencia;Popayán;Cauca
PVA;Aeropuerto El Embrujo;Providencia;San Andrés y Providencia
PUU;Aeropuerto Tres de Mayo;Puerto Asís;Putumayo
PGT;Aeropuerto Morelia;Puerto Gaitán;Meta
PDA;Aeropuerto César Gaviria Trujillo;Puerto Inírida;Guainía
LQM;Aeropuerto Caucaya;Puerto Leguízamo;Putumayo
PCR;Aeropuerto Germán Olano;Puerto Carreño;Vichada
UIB;Aeropuerto El Caraño;Quibdó;Chocó
SJE;Aeropuerto Jorge Enrique González;San José del Guaviare;Guaviare
RVE;Aeropuerto Los Colonizadores;Saravena;Arauca
CZU;Aeropuerto Las Brujas;Sincelejo   Corozal;Sucre
TCO;Aeropuerto La Florida;Tumaco;Nariño
URA;Aeropuerto Puerto Bolívar;Uribia;La Guajira
VUP;Aeropuerto Alfonso López Pumarejo;Valledupar;Cesar
VVC;Aeropuerto Vanguardia;Villavicencio;Meta
EYP;Aeropuerto El Alcaraván;Yopal;Casanare
ACD;Aeropuerto Alcides Fernández;Acandí;Chocó
BUN;Aeropuerto Gerardo Tobar López;Buenaventura;Valle del Cauca
CRC;Aeropuerto Santa Ana;Cartago;Valle del Cauca
CPB;Aeropuerto Narcisa Navas;Capurganá;Chocó
COG;Aeropuerto Mandinga;Condoto;Chocó
PCE;Aeropuerto Cumaribo;Cumaribo;Vichada
EBG;Aeropuerto El Tomin;El Bagre;Antioquia
GIR;Aeropuerto Santiago Vila;Girardot   Flandes;Cundinamarca / Tolima
LCR;Aeropuerto de La Chorrera;La Chorrera;Amazonas
MTB;Aeropuerto El Pindo;Montelíbano;Córdoba
OCV;Aeropuerto Aguas Claras;Ocaña;Norte de Santander
OTU;Aeropuerto de Otú;Remedios;Antioquia
SVI;Aeropuerto Eduardo Falla Solano;San Vicente del Caguán;Caquetá
SOX;Aeropuerto Alberto Lleras Camargo;Sogamoso;Boyacá
ACR;Aeropuerto de Araracuara;Solano;Caquetá
TME;Aeropuerto Gabriel Vargas Santos;Tame;Arauca
TLU;Aeropuerto Golfo de Morrosquillo;Tolú;Sucre
ULQ;Aeropuerto Heriberto Gil Martínez;Tuluá;Valle del Cauca
PYA;Aeropuerto Juan José Rondón;Tunja   Paipa;Boyacá
AGH;Aeropuerto Hacaritama;Aguachica;Cesar
IGO;Aeropuerto Jaime Ortiz Betancur;Chigorodó;Antioquia
RAV;Aeropuerto de Cravo Norte;Cravo Norte;Arauca
ECR;Aeropuerto El Charco;El Charco;Nariño
MGN;Aeropuerto Baracoa;Magangué;Bolívar
MCJ;Aeropuerto La Majayura;Maicao;La Guajira
MQU;Aeropuerto José Celestino Mútis;Mariquita;Tolima
NCI;Aeropuerto de Necoclí;Necoclí;Antioquia
PCC;Aeropuerto de Puerto Rico;Puerto Rico;Caquetá
SGL;Aeropuerto Los Pozos;San Gil;Santander
NPD;Aeropuerto San Pedro de Urabá;San Pedro de Urabá;Antioquia
CTO;Aeropuerto La Arrobleda;Santander de Quilichao;Cauca
GUS;Aeropuerto Gustavo Rojas Pinilla de Tunja;Tunja;Boyacá
TBD;Aeropuerto de Timbiquí;Timbiquí;Cauca
TRB;Aeropuerto Gonzalo Mejía;Turbo;Antioquia
BOG;Aeropuerto Militar CATAM;Bogotá;Distrito Capital
MQZ;Base Aérea de Marandúa;Marandúa;Vichada
TOL;Base Aérea de Tolemaida;Melgar;Tolima
PAL;Base Aérea Germán Olano (Palanquero);Puerto Salgar;Cundinamarca
TQS;Base Aérea de Tres Esquinas;Solano;Caquetá
